unit,run,arm,operation,transactions,mean_ms,sample_sd_ms,sample_variance_ms2,median_ms,min_ms,max_ms,source
grouped collection run,s01,Timing OFF,READ,1200,2.857005,2.767541,7.659285871899,2.110004,1.018047,26.139021,campaign_v1/derived/transactions.csv
grouped collection run,s01,Obfuscated,READ,1200,4.002991,0.075225,0.005658864568,4.000187,3.926992,6.582975,campaign_v1/derived/transactions.csv
grouped collection run,s02,Timing OFF,READ,1200,2.814133,2.412704,5.82113841135,2.12121,1.065969,25.026083,campaign_v1/derived/transactions.csv
grouped collection run,s02,Obfuscated,READ,1200,4.002956,0.070446,0.004962601516,4.000187,3.926992,6.421089,campaign_v1/derived/transactions.csv
grouped collection run,s03,Timing OFF,READ,1200,2.845464,2.700822,7.294441788522,2.120494,1.018047,48.459053,campaign_v1/derived/transactions.csv
grouped collection run,s03,Obfuscated,READ,1200,4.003354,0.086537,0.007488714686,4.000187,3.9289,6.9139,campaign_v1/derived/transactions.csv
grouped collection run,s04,Timing OFF,READ,1200,2.874436,3.502357,12.266505638959,2.112985,1.024961,83.457947,campaign_v1/derived/transactions.csv
grouped collection run,s04,Obfuscated,READ,1200,4.046774,1.536289,2.360183632624,3.999949,3.963947,57.182074,campaign_v1/derived/transactions.csv
grouped collection run,s05,Timing OFF,READ,1200,2.724792,2.347943,5.51283415056,2.115011,1.06287,34.668922,campaign_v1/derived/transactions.csv
grouped collection run,s05,Obfuscated,READ,1200,4.000594,0.027296,0.000745052134,3.998995,3.944874,4.901886,campaign_v1/derived/transactions.csv
grouped collection run,s06,Timing OFF,READ,1200,2.756114,2.342318,5.486453523189,2.117992,1.066923,24.334192,campaign_v1/derived/transactions.csv
grouped collection run,s06,Obfuscated,READ,1200,4.001103,0.009492,9.0102406e-05,4.000187,3.926992,4.066944,campaign_v1/derived/transactions.csv
grouped collection run,s07,Timing OFF,READ,1200,2.813052,2.544008,6.471976278419,2.108574,1.070976,36.340952,campaign_v1/derived/transactions.csv
grouped collection run,s07,Obfuscated,READ,1200,4.040444,0.985203,0.970625195709,3.998995,3.9258,32.260895,campaign_v1/derived/transactions.csv
grouped collection run,s08,Timing OFF,READ,1200,2.762783,2.625641,6.893991745084,2.107978,1.013994,44.082165,campaign_v1/derived/transactions.csv
grouped collection run,s08,Obfuscated,READ,1200,4.003321,0.115106,0.013249287213,3.998995,3.931046,7.975101,campaign_v1/derived/transactions.csv
grouped collection run,s09,Timing OFF,READ,1200,2.71126,2.290311,5.245524830878,2.124428,1.041174,27.357101,campaign_v1/derived/transactions.csv
grouped collection run,s09,Obfuscated,READ,1200,4.001177,0.029675,0.000880600467,4.000187,3.921986,4.966021,campaign_v1/derived/transactions.csv
grouped collection run,s10,Timing OFF,READ,1200,2.738342,2.253803,5.079626060048,2.121449,1.017094,24.998188,campaign_v1/derived/transactions.csv
grouped collection run,s10,Obfuscated,READ,1200,4.03979,1.265873,1.602434514072,4.000187,3.969908,47.806025,campaign_v1/derived/transactions.csv
grouped collection run,s11,Timing OFF,READ,1200,2.790773,2.388646,5.70563154417,2.114534,1.040936,23.905993,campaign_v1/derived/transactions.csv
grouped collection run,s11,Obfuscated,READ,1200,4.001651,0.047089,0.002217359779,3.999949,3.93486,5.595922,campaign_v1/derived/transactions.csv
grouped collection run,s12,Timing OFF,READ,1200,2.758017,2.224256,4.947313243075,2.123117,1.070976,23.747921,campaign_v1/derived/transactions.csv
grouped collection run,s12,Obfuscated,READ,1200,4.039537,1.271838,1.617572793262,4.000187,3.970861,48.00415,campaign_v1/derived/transactions.csv
grouped collection run,s13,Timing OFF,READ,1200,2.806132,2.9121,8.480325612788,2.106905,1.024961,62.942982,campaign_v1/derived/transactions.csv
grouped collection run,s13,Obfuscated,READ,1200,4.002459,0.081428,0.006630560923,3.999949,3.929853,6.80089,campaign_v1/derived/transactions.csv
grouped collection run,s14,Timing OFF,READ,1200,2.871378,2.567072,6.589860590485,2.117872,1.065969,25.92802,campaign_v1/derived/transactions.csv
grouped collection run,s14,Obfuscated,READ,1200,4.010532,0.271963,0.073963742178,4.000545,3.928185,13.363123,campaign_v1/derived/transactions.csv
grouped collection run,s15,Timing OFF,READ,1200,2.77223,2.265338,5.131756305431,2.125501,1.016855,22.460938,campaign_v1/derived/transactions.csv
grouped collection run,s15,Obfuscated,READ,1200,4.003105,0.048641,0.002365943965,3.999949,3.954887,5.448103,campaign_v1/derived/transactions.csv
grouped collection run,s16,Timing OFF,READ,1200,2.816551,3.096674,9.589387015115,2.120495,1.034021,63.736916,campaign_v1/derived/transactions.csv
grouped collection run,s16,Obfuscated,READ,1200,4.005989,0.088949,0.007911883765,4.000902,3.931046,6.301165,campaign_v1/derived/transactions.csv
grouped collection run,s17,Timing OFF,READ,1200,2.77783,2.448356,5.994444664876,2.119422,1.018047,26.028156,campaign_v1/derived/transactions.csv
grouped collection run,s17,Obfuscated,READ,1200,4.001329,0.009498,9.0204535e-05,4.000187,3.931046,4.077911,campaign_v1/derived/transactions.csv
grouped collection run,s18,Timing OFF,READ,1200,2.865307,2.725553,7.428636800986,2.127648,1.024961,57.996988,campaign_v1/derived/transactions.csv
grouped collection run,s18,Obfuscated,READ,1200,4.03861,1.281322,1.64178620944,4.000187,3.938913,48.372984,campaign_v1/derived/transactions.csv
grouped collection run,s19,Timing OFF,READ,1200,2.871261,2.513789,6.31913424577,2.128005,1.045227,24.969101,campaign_v1/derived/transactions.csv
grouped collection run,s19,Obfuscated,READ,1200,4.018704,0.573271,0.328639711209,3.999949,3.930807,23.764849,campaign_v1/derived/transactions.csv
grouped collection run,s20,Timing OFF,READ,1200,2.851233,3.280892,10.764249548728,2.104998,1.066923,77.651978,campaign_v1/derived/transactions.csv
grouped collection run,s20,Obfuscated,READ,1200,4.006323,0.164735,0.027137767326,4.000187,3.935099,9.614944,campaign_v1/derived/transactions.csv
grouped collection run,s21,Timing OFF,READ,1200,2.833798,2.383888,5.682922962858,2.127529,1.065969,21.621943,campaign_v1/derived/transactions.csv
grouped collection run,s21,Obfuscated,READ,1200,4.001362,0.010453,0.000109266633,3.999949,3.968954,4.103899,campaign_v1/derived/transactions.csv
grouped collection run,s22,Timing OFF,READ,1200,2.685956,2.336294,5.458271662297,2.104521,1.065016,26.865959,campaign_v1/derived/transactions.csv
grouped collection run,s22,Obfuscated,READ,1200,4.000132,0.010875,0.000118269815,3.999949,3.923893,4.070997,campaign_v1/derived/transactions.csv
"capture (nested in run, not independent)",s01/b1,Timing OFF,READ,400,2.783892,2.725504,7.428373703341,2.097964,1.065016,26.139021,campaign_v1/derived/transactions.csv
"capture (nested in run, not independent)",s01/b2,Obfuscated,READ,400,4.000984,0.010814,0.000116939928,3.999949,3.930092,4.070997,campaign_v1/derived/transactions.csv
"capture (nested in run, not independent)",s01/b3,Obfuscated,READ,400,4.000869,0.010327,0.000106654024,4.000068,3.935814,4.042149,campaign_v1/derived/transactions.csv
"capture (nested in run, not independent)",s01/b4,Timing OFF,READ,400,2.866875,2.615092,6.83870820525,2.122045,1.044989,23.445129,campaign_v1/derived/transactions.csv
"capture (nested in run, not independent)",s01/b5,Obfuscated,READ,400,4.007118,0.129444,0.016755735774,4.000187,3.926992,6.582975,campaign_v1/derived/transactions.csv
