Subscribe attempt #1
Subscribe response received 0
Binding with p4_name queue_microbench
Binding with p4_name queue_microbench successful!!
Received queue_microbench on GetForwarding on client 23, device 0
sec  in_pps  DEQ_pps(shaped128)  use_cells
  1      43      43  0
  2      50      50  0
  3      50      50  0
  4      50      50  0
  5      50      50  0
  6      50      50  0
  7      51      51  0
  8      50      50  0
  9      50      50  0
 10      50      50  0
 11      50      50  0
 12      50      50  0
 13      51      51  0
 14      50      50  0
 15      50      50  0
 16      50      50  0
 17      50      50  0
 18      50      50  0
 19      51      51  0
 20      50      50  0
 21      50      50  0
DEQ_pps: median=50 min=43 max=51 mean=50  (n=21 samples)
